Date,Country,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification,Days since last reported case
12-03-2020,Territory/Area  †,confirmed ‡  cases,confirmed new cases,deaths,new deaths,classification§,reported case
12-03-2020,Republic of Korea,7869,114,66,6,Local transmission,0
12-03-2020,Japan,620,52,15,3,Local transmission,0
12-03-2020,Singapore,178,12,0,0,Local transmission,0
12-03-2020,Malaysia,129,0,0,0,Local transmission,1
12-03-2020,Australia,122,10,3,0,Local transmission,0
12-03-2020,Philippines,52,3,2,1,Local transmission,0
12-03-2020,Viet Nam,39,4,0,0,Local transmission,0
12-03-2020,Brunei Darussalam,12,11,0,0,Local transmission,0
12-03-2020,New Zealand,5,0,0,0,Local transmission,5
12-03-2020,Cambodia,3,0,0,0,Local transmission,1
12-03-2020,Mongolia,1,0,0,0,Imported cases only,2
12-03-2020,French Polynesia,1,1,0,0,Imported cases only,0
12-03-2020,Italy,12462,2313,827,196,Local transmission,0
12-03-2020,France,2269,495,48,15,Local transmission,0
12-03-2020,Spain,2140,501,48,12,Local transmission,0
12-03-2020,Germany,1567,271,3,1,Local transmission,0
12-03-2020,Switzerland,645,154,4,1,Local transmission,0
12-03-2020,Denmark,615,353,0,0,Local transmission,0
12-03-2020,Netherlands,503,121,5,1,Local transmission,0
12-03-2020,Sweden,461,135,0,0,Local transmission,0
12-03-2020,The United Kingdom,460,87,6,0,Local transmission,0
12-03-2020,Belgium,314,47,0,0,Local transmission,0
12-03-2020,Austria,302,120,0,0,Local transmission,0
12-03-2020,Norway,277,0,0,0,Local transmission,1
12-03-2020,Greece,98,9,1,1,Local transmission,0
12-03-2020,Czechia,94,33,0,0,Local transmission,0
12-03-2020,Israel,75,0,0,0,Local transmission,1
12-03-2020,San Marino,63,0,2,0,Local transmission,1
12-03-2020,Iceland,61,0,0,0,Local transmission,2
12-03-2020,Slovenia,57,26,0,0,Local transmission,0
12-03-2020,Romania,48,23,0,0,Local transmission,0
12-03-2020,Poland,44,22,0,0,Local transmission,0
12-03-2020,Ireland,43,9,1,1,Local transmission,0
12-03-2020,Portugal,41,0,0,0,Local transmission,1
12-03-2020,Finland,40,0,0,0,Local transmission,2
12-03-2020,Georgia,23,0,0,0,Imported cases only,1
12-03-2020,Russian Federation,20,13,0,0,Imported cases only,0
12-03-2020,Serbia,19,7,0,0,Local transmission,0
12-03-2020,Luxembourg,17,12,0,0,Local transmission,0
12-03-2020,Croatia,16,0,0,0,Local transmission,1
12-03-2020,Latvia,16,8,0,0,Imported cases only,0
12-03-2020,Estonia,13,0,0,0,Imported cases only,1
12-03-2020,Hungary,13,0,0,0,Local transmission,1
12-03-2020,Belarus,12,3,0,0,Local transmission,0
12-03-2020,Albania,10,0,0,0,Local transmission,1
