Date,Country,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification,Days since last reported case
13-03-2020,America,1264.0,277.0,36.0,7.0,Local transmission,0.0
13-03-2020,Canada,138.0,45.0,1.0,0.0,Local transmission,0.0
13-03-2020,Brazil,77.0,25.0,0.0,0.0,Local transmission,0.0
13-03-2020,Chile,33.0,10.0,0.0,0.0,Local transmission,0.0
13-03-2020,Argentina,31.0,12.0,1.0,0.0,Imported cases only,0.0
13-03-2020,Costa Rica,22.0,9.0,0.0,0.0,Local transmission,0.0
13-03-2020,Peru,22.0,5.0,0.0,0.0,Local transmission,0.0
13-03-2020,Ecuador,17.0,0.0,0.0,0.0,Local transmission,1.0
13-03-2020,Panama,14.0,4.0,1.0,0.0,Imported cases only,0.0
13-03-2020,Mexico,12.0,1.0,0.0,0.0,Imported cases only,0.0
13-03-2020,Colombia,9.0,0.0,0.0,0.0,Imported cases only,1.0
13-03-2020,Dominican Republic,5.0,0.0,0.0,0.0,Imported cases only,3.0
13-03-2020,Paraguay,5.0,0.0,0.0,0.0,Imported cases only,2.0
13-03-2020,State of),3.0,1.0,0.0,0.0,Imported cases only,0.0
13-03-2020,Cuba,3.0,3.0,0.0,0.0,Imported cases only,0.0
13-03-2020,Honduras,2.0,0.0,0.0,0.0,Imported cases only,1.0
13-03-2020,Guyana,1.0,1.0,1.0,1.0,Imported cases only,0.0
13-03-2020,Jamaica,1.0,0.0,0.0,0.0,Imported cases only,2.0
13-03-2020,Grenadines,1.0,1.0,0.0,0.0,Imported cases only,0.0
13-03-2020,French Guiana,6.0,1.0,0.0,0.0,Imported cases only,0.0
13-03-2020,Martinique,4.0,1.0,0.0,0.0,Imported cases only,0.0
13-03-2020,Saint Martin,2.0,0.0,0.0,0.0,Under investigation,10.0
13-03-2020,Saint Barthelemy,1.0,0.0,0.0,0.0,Under investigation,10.0
13-03-2020,Algeria,25.0,0.0,1.0,0.0,Local transmission,1.0
13-03-2020,South Africa,17.0,4.0,0.0,0.0,Imported cases only,0.0
13-03-2020,Senegal,10.0,6.0,0.0,0.0,Imported cases only,0.0
13-03-2020,Burkina Faso,2.0,0.0,0.0,0.0,Imported cases only,2.0
13-03-2020,Cameroon,2.0,0.0,0.0,0.0,Local transmission,6.0
13-03-2020,Nigeria,2.0,0.0,0.0,0.0,Imported cases only,4.0
13-03-2020,Cote d Ivoire,1.0,0.0,0.0,0.0,Imported cases only,1.0
13-03-2020,of the Congo,1.0,0.0,0.0,0.0,Imported cases only,2.0
13-03-2020,Togo,1.0,0.0,0.0,0.0,Imported cases only,6.0
13-03-2020,conveyance,696.0,0.0,7.0,0.0,Local transmission,5.0
