Date,Country,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification,Days since last reported case
08-03-2020,Dominican Republic,1.0,0.0,0.0,0.0,Imported cases only,6.0
08-03-2020,French Guiana,5.0,5.0,0.0,0.0,Imported cases only,0.0
08-03-2020,Martinique,2.0,2.0,0.0,0.0,Imported cases only,0.0
08-03-2020,Saint Martin,2.0,0.0,0.0,0.0,Under investigation,5.0
08-03-2020,Saint Barthélemy,1.0,0.0,0.0,0.0,Under investigation,5.0
08-03-2020,Algeria,17.0,0.0,0.0,0.0,Local transmission,1.0
08-03-2020,Senegal,4.0,0.0,0.0,0.0,Imported cases only,3.0
08-03-2020,Cameroon,2.0,0.0,0.0,0.0,Local transmission,1.0
08-03-2020,South Africa,2.0,1.0,0.0,0.0,Imported cases only,0.0
08-03-2020,Nigeria,1.0,0.0,0.0,0.0,Imported cases only,9.0
08-03-2020,Togo,1.0,0.0,0.0,0.0,Imported cases only,1.0
08-03-2020,conveyance,696.0,0.0,7.0,1.0,Local transmission,0.0
