Date,Country,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification,Days since last reported case
11-03-2020,Luxembourg,5,0.0,0.0,0.0,Imported cases only,1.0
11-03-2020,Bosnia andHerzegovina,4,2.0,0.0,0.0,Local transmission,0.0
11-03-2020,Malta,4,0.0,0.0,0.0,Imported cases only,1.0
11-03-2020,Republic of Moldova,3,2.0,0.0,0.0,Imported cases only,0.0
11-03-2020,Cyprus,2,0.0,0.0,0.0,Imported cases only,1.0
11-03-2020,Andorra,1,0.0,0.0,0.0,Imported cases only,8.0
11-03-2020,Armenia,1,0.0,0.0,0.0,Imported cases only,9.0
11-03-2020,Holy See,1,0.0,0.0,0.0,Under investigation,5.0
11-03-2020,Liechtenstein,1,0.0,0.0,0.0,Imported cases only,5.0
11-03-2020,Lithuania,1,0.0,0.0,0.0,Imported cases only,12.0
11-03-2020,Monaco,1,0.0,0.0,0.0,Under investigation,10.0
11-03-2020,Ukraine,1,0.0,0.0,0.0,Imported cases only,7.0
11-03-2020,Faroe Islands,2,0.0,0.0,0.0,Imported cases only,2.0
11-03-2020,Gibraltar,1,0.0,0.0,0.0,Under investigation,7.0
11-03-2020,Guernsey,1,0.0,0.0,0.0,Imported cases only,1.0
11-03-2020,India,60,16.0,0.0,0.0,Local transmission,0.0
11-03-2020,Thailand,59,6.0,1.0,0.0,Local transmission,0.0
11-03-2020,Indonesia,27,8.0,1.0,1.0,Local transmission,0.0
11-03-2020,Maldives,8,4.0,0.0,0.0,Local transmission,0.0
11-03-2020,Bangladesh,3,0.0,0.0,0.0,Local transmission,2.0
11-03-2020,Bhutan,1,0.0,0.0,0.0,Imported cases only,5.0
11-03-2020,Nepal,1,0.0,0.0,0.0,Imported cases only,47.0
11-03-2020,Sri Lanka,1,0.0,0.0,0.0,Imported cases only,44.0
11-03-2020,Iran (IslamicRepublic of),8042,881.0,291.0,54.0,Local transmission,0.0
11-03-2020,Bahrain,110,1.0,0.0,0.0,Local transmission,0.0
11-03-2020,United ArabEmirates,74,15.0,0.0,0.0,Local transmission,0.0
11-03-2020,Kuwait,69,4.0,0.0,0.0,Imported cases only,0.0
11-03-2020,Iraq,61,0.0,6.0,0.0,Local transmission,1.0
11-03-2020,Egypt,59,0.0,1.0,0.0,Local transmission,1.0
11-03-2020,Lebanon,41,9.0,1.0,1.0,Local transmission,0.0
11-03-2020,Qatar,24,6.0,0.0,0.0,Imported cases only,0.0
11-03-2020,Saudi Arabia,20,5.0,0.0,0.0,Local transmission,0.0
11-03-2020,Oman,18,0.0,0.0,0.0,Imported cases only,1.0
11-03-2020,Pakistan,16,0.0,0.0,0.0,Local transmission,1.0
11-03-2020,Tunisia,6,4.0,0.0,0.0,Local transmission,0.0
11-03-2020,Afghanistan,4,0.0,0.0,0.0,Imported cases only,3.0
11-03-2020,Morocco,3,1.0,1.0,1.0,Imported cases only,0.0
11-03-2020,Jordan,1,0.0,0.0,0.0,Imported cases only,8.0
11-03-2020,occupied Palestinianterritory,30,4.0,0.0,0.0,Local transmission,0.0
11-03-2020,United States ofAmerica,696,224.0,25.0,6.0,Local transmission,0.0
11-03-2020,Canada,93,16.0,1.0,1.0,Local transmission,0.0
11-03-2020,Brazil,34,9.0,0.0,0.0,Local transmission,0.0
