Date,Country,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmission classification,Days since last reported case
10-03-2020,Chile,13.0,3.0,0.0,0.0,Local transmission,0.0
10-03-2020,Argentina,12.0,0.0,1.0,0.0,Imported cases only,1.0
10-03-2020,Costa Rica,9.0,0.0,0.0,0.0,Local transmission,1.0
10-03-2020,Peru,9.0,3.0,0.0,0.0,Local transmission,0.0
10-03-2020,Mexico,7.0,0.0,0.0,0.0,Imported cases only,2.0
10-03-2020,Dominican Republic,5.0,4.0,0.0,0.0,Imported cases only,0.0
10-03-2020,Colombia,3.0,2.0,0.0,0.0,Imported cases only,0.0
10-03-2020,Panama,1.0,1.0,0.0,0.0,Imported cases only,0.0
10-03-2020,Paraguay,1.0,0.0,0.0,0.0,Imported cases only,1.0
10-03-2020,French Guiana,5.0,0.0,0.0,0.0,Imported cases only,2.0
10-03-2020,Martinique,2.0,0.0,0.0,0.0,Imported cases only,2.0
10-03-2020,Saint Martin,2.0,0.0,0.0,0.0,Under investigation,7.0
10-03-2020,Saint Barthelemy,1.0,0.0,0.0,0.0,Under investigation,7.0
10-03-2020,Algeria,20.0,0.0,0.0,0.0,Local transmission,1.0
10-03-2020,South Africa,7.0,4.0,0.0,0.0,Imported cases only,0.0
10-03-2020,Senegal,4.0,0.0,0.0,0.0,Imported cases only,5.0
10-03-2020,Cameroon,2.0,0.0,0.0,0.0,Local transmission,3.0
10-03-2020,Nigeria,2.0,0.0,0.0,0.0,Imported cases only,1.0
10-03-2020,Togo,1.0,0.0,0.0,0.0,Imported cases only,3.0
10-03-2020,conveyance,696.0,0.0,7.0,0.0,Local transmission,2.0
